Supplementary Table 1. Differentially methylated genes in mutant IDH-expressing human astrocytes;;;;;;;;;;;;
Probeset ID;Symbol;Normalized fold change (mut/wt);Delta-beta (P40 mut vs P40 wt);Chromosome;Mapinfo;Accession;UCSC Refgene group;Relation to UCSC CpG island;Q value;;;
cg09861476;;2,58756;0,0552975;1;2,35E+08;;;S_Shelf;0,0385513;;;
cg09861871;ARFGAP3;37,1839;0,1382117;22;4,33E+07;"NM_014570;NM_001142293";"TSS200;TSS200";Island;0,048947;;;
cg09861971;;1,92331;0,052147;5;3,54E+06;;;Island;0,0497298;;;
cg09861992;OR12D3;5,84144;0,184727;6;2,93E+07;NM_030959;1stExon;;0,0497031;;;
cg09862200;C2orf72;1,85224;0,066461;2;2,32E+08;NM_001144994;Body;S_Shelf;0,0446923;;;
cg09863247;PLTP;31,9582;0,3384865;20;4,45E+07;"NM_182676;NM_006227";"Body;Body";Island;0,0383441;;;
cg09863950;HTR6;-1,14183;-0,010343;1;2,00E+07;NM_000871;TSS1500;N_Shore;0,0473147;;;
cg09864076;OLFM3;-14,5537;-0,2386785;1;1,02E+08;NM_058170;TSS200;;0,0412884;;;
cg09864345;PLEKHG5;10,1878;0,126066;1;6,53E+06;"NM_001042664;NM_001042665;NM_198681;NM_020631;NM_001042663";"Body;Body;Body;Body;Body";Island;0,0391234;;;
cg09864843;C1orf88;2,26019;0,0757505;1;1,12E+08;NM_181643;Body;S_Shore;0,0462115;;;
cg09866101;SDK1;3,43502;0,107755;7;4,27E+06;"NR_027816;NM_152744";"Body;Body";;0,0399885;;;
cg09866565;A4GNT;17,3089;0,2260875;3;1,38E+08;NM_016161;Body;;0,0482698;;;
cg09866695;;2,88779;0,07182;1;2,22E+08;;;;0,0382745;;;
cg09866757;BARHL2;-6,35535;-0,1276705;1;9,12E+07;NM_020063;Body;N_Shore;0,0438036;;;
cg09866983;PRAC;-6,42586;-0,1459515;17;4,68E+07;"NM_032391;NM_032391;NR_024103";"1stExon;5'UTR;TSS1500";N_Shore;0,0387662;;;
cg09867322;;18,8556;0,216552;5;1,35E+08;;;;0,0408631;;;
cg09868003;SHC4;-3,42804;-0,12599;15;4,93E+07;NM_203349;Body;N_Shelf;0,0383741;;;
cg09868336;FAM19A4;4,04719;0,1367755;3;6,90E+07;"NM_001005527;NM_182522";"TSS200;TSS200";Island;0,0499345;;;
cg09868768;ASPRV1;3,65422;0,1315645;2;7,02E+07;NM_152792;1stExon;Island;0,0428365;;;
cg09869130;KIAA0247;2,53588;0,09864;14;7,02E+07;NM_014734;3'UTR;;0,0472374;;;
cg09869811;NUTF2;-2,73612;-0,0582055;16;6,79E+07;NM_005796;5'UTR;;0,043497;;;
cg09869950;FGGY;10,0468;0,189766;1;5,98E+07;"NM_018291;NM_001113411";"5'UTR;5'UTR";;0,0490961;;;
cg09870137;WNT7B;11,9713;0,207407;22;4,63E+07;NM_058238;Body;S_Shore;0,0428;;;
cg09870606;GLG1;4,64424;0,1502965;16;7,46E+07;"NM_001145666;NR_027265;NM_001145667;NR_027264;NM_012201";"TSS1500;TSS1500;TSS1500;TSS1500;TSS1500";S_Shore;0,0382745;;;
cg09871079;HPCA;5,08498;0,1658;1;3,34E+07;NM_002143;Body;Island;0,0456308;;;
cg09871424;PBX1;1,91438;0,0703825;1;1,65E+08;NM_002585;Body;;0,049069;;;
cg09872009;TPTE;2,26631;0,0867985;21;1,10E+07;"NM_199260;NM_199261;NM_199259";"5'UTR;5'UTR;5'UTR";Island;0,0424379;;;
cg09872278;CA14;2,75042;0,109257;1;1,50E+08;NM_012113;Body;;0,0454276;;;
cg09873164;CRCT1;-2,25937;-0,0882535;1;1,52E+08;NM_019060;Body;Island;0,048659;;;
cg09873284;PLEKHM2;11,1105;0,144053;1;1,60E+07;NM_015164;Body;;0,0449581;;;
cg09873379;;-3,27691;-0,1280895;12;1,09E+08;;;;0,0382745;;;
cg09874213;SRRM1;-9,32648;-0,224162;1;2,50E+07;NM_005839;TSS1500;N_Shore;0,0442484;;;
cg09874796;DIP2C;3,46317;0,130583;10;661730;NM_014974;Body;;0,044278;;;
cg09874901;LAMA3;3,81449;0,109185;18;2,13E+07;"NM_198129;NM_001127717";"1stExon;1stExon";Island;0,0428;;;
cg09875087;EDEM3;11,6452;0,2601605;1;1,85E+08;NM_025191;TSS1500;S_Shore;0,0472957;;;
cg09875213;TIFAB;3,71593;0,1077635;5;1,35E+08;NM_001099221;5'UTR;;0,047873;;;
cg09875273;ERBB2;-5,03079;-0,1703975;17;3,78E+07;"NM_001005862;NM_033419";"TSS1500;Body";N_Shore;0,0485974;;;
cg09875444;;9,61175;0,2061845;12;5,23E+07;;;;0,043909;;;
cg09875833;;-12,8012;-0,240349;X;3,99E+07;;;Island;0,0446399;;;
cg09876447;MUC21;-2,81521;-0,109671;6;3,10E+07;NM_001010909;TSS1500;;0,0476058;;;
cg09876568;;9,18227;0,141375;6;2,89E+07;;;;0,0419875;;;
cg09877117;BBC3;4,13802;0,108175;19;4,77E+07;"NM_001127240;NM_001127242;NM_014417;NM_001127241;NM_001127241;NM_001127242;NM_001127240";"1stExon;5'UTR;TSS1500;1stExon;5'UTR;1stExon;5'UTR";S_Shore;0,0406071;;;
cg09879122;GALNT9;-12,6338;-0,243025;12;1,33E+08;"NM_001122636;NM_021808";"Body;TSS200";S_Shore;0,0391234;;;
cg09879797;WSB2;4,88096;0,07609815;12;1,19E+08;NM_018639;TSS1500;S_Shore;0,0470199;;;
cg09881585;TTLL8;5,19118;0,169136;22;5,05E+07;NM_001080447;Body;Island;0,0382745;;;
cg09882283;VIPR2;3,56788;0,123638;7;1,59E+08;NM_003382;Body;N_Shore;0,0401588;;;
cg09883798;MSRA;-2,72926;-0,084118;8;9,95E+06;"NM_001135670;NM_001135671;NM_012331";"Body;TSS1500;Body";;0,0463602;;;
cg09884341;LOC645323;6,60427;0,1943405;5;8,80E+07;"NR_015436;NR_024383";"Body;TSS1500";N_Shore;0,0408631;;;
cg09884350;BACE2;6,04755;0,1788145;21;4,26E+07;"NM_012105;NM_138991;NM_138992";"Body;Body;Body";S_Shore;0,0423354;;;
cg09885664;PDLIM5;3,30115;0,1155635;4;9,54E+07;"NR_024179;NM_001011515;NM_006457;NM_001011516;NM_001011513";"Body;Body;Body;Body;Body";;0,0467632;;;
cg09886558;;11,6505;0,2389905;15;7,79E+07;;;;0,0411923;;;
cg09887251;;16,3871;0,257334;4;1,02E+06;;;N_Shelf;0,0462976;;;
cg09887801;ITGA2B;16,3893;0,2253045;17;4,25E+07;NM_000419;Body;N_Shore;0,0470461;;;
cg09887867;;3,33084;0,1284085;13;3,10E+07;;;Island;0,0469862;;;
cg09888137;SUFU;1,36436;0,0100394;10;1,04E+08;"NM_016169;NM_005736";"TSS1500;TSS200";N_Shore;0,0472055;;;
cg09888145;SNAP47;17,387;0,2737395;1;2,28E+08;"NM_053052;NM_023007;NM_001161465";"TSS1500;Body;Body";N_Shore;0,0466426;;;
cg09888336;KIAA1211;-6,81121;-0,1591465;4;5,72E+07;NM_020722;Body;Island;0,0461725;;;
cg09889165;;3,23964;0,122792;20;6,20E+07;;;N_Shore;0,0469614;;;
cg09890077;NAALADL2;2,40028;0,0763185;3;1,75E+08;NM_207015;Body;;0,04433;;;
cg09890286;HRNBP3;3,47409;0,1343185;17;7,71E+07;NM_001082575;Body;;0,027901;;;
cg09890341;SGCE;-8,50064;-0,163629;7;9,43E+07;"NM_001099401;NM_015068;NM_001099400;NM_001040152;NM_003919";"TSS1500;5'UTR;TSS1500;5'UTR;TSS1500";S_Shore;0,0399885;;;
cg09890930;SARNP;4,35136;0,097564;12;5,61E+07;"NR_026723;NR_026722";"Body;Body";;0,0419449;;;
cg09891226;PRDM16;-2,05842;-0,0740155;1;3,19E+06;"NM_022114;NM_199454";"Body;Body";S_Shore;0,0391234;;;
cg09891761;F5;-54,9443;-0,401041;1;1,70E+08;"NM_000130;NM_000130";"5'UTR;1stExon";;0,0394993;;;
cg09891807;SOBP;5,99984;0,1484165;6;1,08E+08;NM_018013;Body;;0,0468424;;;
cg09892459;PDE4D;-2,03803;-0,059569;5;5,84E+07;"NM_001165899;NM_001104631;NM_006203";"Body;Body;Body";;0,0421791;;;
cg09892671;;-16,9158;-0,222255;1;8,30E+07;;;;0,0465178;;;
cg09892984;;8,28783;0,183331;1;1,17E+08;;;;0,0401276;;;
cg09893016;CLCN4;-1,77433;-0,0277825;X;1,01E+07;NM_001830;5'UTR;;0,0387662;;;
cg09894683;PSD3;2,26451;0,0593565;8;1,85E+07;"NM_206909;NM_015310";"Body;Body";;0,0416758;;;
cg09896412;;-76,4015;-0,289317;1;9,85E+07;;;Island;0,0375028;;;
cg09896598;ERLIN2;8,69771;0,0508603;8;3,76E+07;"NM_007175;NM_001003791;NM_001003790";"5'UTR;5'UTR;5'UTR";Island;0,0437997;;;
cg09896622;FGF14;7,2049;0,2067105;13;1,03E+08;"NM_175929;NM_004115";"Body;Body";Island;0,0418743;;;
cg09896999;ZNF12;15,6681;0,282479;7;6,75E+06;"NM_016265;NM_006956";"TSS1500;TSS1500";S_Shore;0,0403813;;;
cg09897737;;7,61597;0,188501;2;2,28E+08;;;;0,0444514;;;
cg09899185;;-3,05636;-0,1147115;5;5,07E+07;;;S_Shore;0,0489286;;;
cg09900722;;-3,63823;-0,084259;10;4,38E+07;;;Island;0,0391234;;;
cg09900984;GALNT9;3,40272;0,126929;12;1,33E+08;NM_001122636;Body;N_Shelf;0,0382745;;;
cg09901574;;1,99409;0,0348815;16;3,20E+06;;;N_Shelf;0,0406577;;;
cg09901733;RPA1;4,19348;0,083407;17;1,73E+06;"NM_002945;NM_052928";"TSS1500;5'UTR";N_Shore;0,0415367;;;
cg09903430;ST3GAL3;7,98473;0,151665;1;4,42E+07;"NM_174969;NM_174970;NM_174967;NM_006279;NM_174968;NM_174966;NM_174964;NM_174963;NM_174965;NM_174971";"TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500";N_Shore;0,0481579;;;
cg09903452;09-Sep;8,79834;0,1908565;17;7,53E+07;"NM_001113492;NM_001113491;NM_006640";"5'UTR;Body;TSS1500";;0,0387642;;;
cg09903879;EMP1;17,6408;0,222287;12;1,33E+07;NM_001423;TSS1500;;0,0382745;;;
cg09904051;POU5F1;5,44642;0,1781525;6;3,11E+07;NM_002701;TSS1500;;0,0401629;;;
cg09904264;;-8,79605;-0,185558;15;1,00E+08;;;Island;0,043981;;;
cg09904304;PLVAP;6,8081;0,200735;19;1,75E+07;NM_031310;TSS200;S_Shore;0,0441613;;;
cg09906297;GLI3;1,28735;0,014706;7;4,22E+07;NM_000168;Body;;0,0403813;;;
cg09906402;MUC6;10,3334;0,147581;11;1,03E+06;NM_005961;Body;Island;0,0394963;;;
cg09906458;PRND;1,78953;0,042194;20;4,70E+06;"NM_012409;NM_012409";"5'UTR;1stExon";;0,0437171;;;
cg09906752;CYP39A1;2,66297;0,0976055;6;4,66E+07;"NM_016593;NM_004277";"TSS1500;Body";S_Shore;0,0387642;;;
cg09907170;BCL2L11;-2,10023;-0,06719;2;1,12E+08;"NM_207002;NM_138621;NM_006538";"TSS1500;TSS1500;TSS1500";Island;0,0391234;;;
cg09907228;;6,75661;0,196171;19;838964;;;S_Shelf;0,0399093;;;
cg09907542;TBC1D14;8,60964;0,1369075;4;7,03E+06;"NM_001113361;NM_020773;NM_001113363";"3'UTR;3'UTR;3'UTR";;0,0394157;;;
cg09907720;VAX2;2,91378;0,1082105;2;7,11E+07;NM_012476;TSS200;Island;0,0382745;;;
cg09907758;C11orf95;-2,1819;-0,0543695;11;6,35E+07;NM_001144936;TSS1500;S_Shore;0,0465973;;;
cg09907936;ZNF135;14,4534;0,151343;19;5,86E+07;"NM_001164527;NM_003436;NM_001164529;NM_007134;NM_001164530";"TSS200;TSS200;TSS200;TSS200;TSS200";Island;0,0491197;;;
cg09908041;;1,92313;0,070603;11;3,19E+06;;;S_Shelf;0,0453338;;;
cg09908110;MACROD1;3,35461;0,0946085;11;6,38E+07;NM_014067;Body;;0,0484902;;;
cg09908474;IRF5;-3,95177;-0,147704;7;1,29E+08;"NM_001098630;NM_001098630;NM_001098631;NM_032643;NM_001098628;NM_002200;NM_002200;NM_001098629;NM_001098629;NM_001098628";"5'UTR;1stExon;TSS1500;TSS1500;1stExon;1stExon;5'UTR;5'UTR;1stExon;5'UTR";Island;0,0406071;;;
cg09909417;VIPR2;-3,1052;-0,122065;7;1,59E+08;NM_003382;Body;N_Shelf;0,0382745;;;
cg09910635;TAC1;5,74508;0,1587315;7;9,74E+07;"NM_013996;NM_013997;NM_003182;NM_013998";"TSS1500;TSS1500;TSS1500;TSS1500";N_Shore;0,0424135;;;
cg09910984;PTCHD2;-5,99046;-0,1747075;1;1,16E+07;NM_020780;Body;Island;0,0403345;;;
cg09910998;SGCE;-13,4431;-0,2205785;7;9,43E+07;"NM_001099401;NM_015068;NM_001099400;NM_001040152;NM_003919";"TSS1500;5'UTR;TSS1500;5'UTR;TSS1500";Island;0,0404324;;;
cg09911342;ASZ1;-2,27395;-0,0575405;7;1,17E+08;"NR_023315;NM_130768";"TSS1500;TSS1500";S_Shore;0,0459393;;;
cg09911521;NRTN;2,86797;0,089021;19;5,83E+06;NM_004558;3'UTR;Island;0,0391234;;;
cg09911747;BCL11B;2,91642;0,0515255;14;9,96E+07;"NM_022898;NM_138576";"Body;Body";S_Shelf;0,0495876;;;
cg09912350;GUCY1A3;25,3857;0,3137065;4;1,57E+08;"NM_001130685;NM_001130682;NM_001130687;NM_001130683;NM_001130683;NM_000856;NM_001130686;NM_001130685;NM_001130684";"5'UTR;5'UTR;5'UTR;5'UTR;1stExon;5'UTR;5'UTR;1stExon;TSS1500";Island;0,0400885;;;
cg09912793;PHC1;3,81941;0,1406485;12;9,07E+06;NM_004426;TSS1500;N_Shore;0,046635;;;
cg09912841;SPACA5;-27,3742;-0,2982685;X;4,79E+07;"NM_205856;NM_006962;NM_001007088";"TSS200;TSS1500;TSS1500";S_Shore;0,0423274;;;
cg09913544;CBX6;9,54451;0,16543;22;3,93E+07;NM_014292;TSS1500;Island;0,0485084;;;
cg09914555;;45,5127;0,2626445;8;1,42E+08;;;;0,0453334;;;
cg09915932;;-1,38045;-0,0111747;17;235713;;;Island;0,0390019;;;
cg09916157;;3,47528;0,081577;8;2,36E+07;;;Island;0,0453408;;;
cg09916599;LOXL1;4,65576;0,1545375;15;7,42E+07;NM_005576;Body;;0,0486064;;;
cg09917446;OR5C1;-7,17504;-0,210543;9;1,26E+08;NM_001001923;TSS200;;0,0490722;;;
cg09918091;;33,4807;0,339427;10;9,95E+07;;;;0,040575;;;
cg09918674;TNFAIP8L1;3,18269;0,07985;19;4,64E+06;"NM_001167942;NM_152362";"TSS1500;TSS1500";N_Shore;0,0440081;;;
cg09918747;;11,1642;0,249069;5;1,79E+08;;;Island;0,048396;;;
cg09919809;CCDC67;8,08868;0,2208085;11;9,31E+07;NM_181645;Body;;0,043497;;;
cg09920228;;2,66286;0,0996775;16;5,09E+07;;;S_Shore;0,0469093;;;
cg09921821;RGS12;67,0067;0,3330865;4;3,37E+06;"NM_198229;NM_198227;NM_198227;NM_002926";"Body;5'UTR;1stExon;Body";N_Shelf;0,0435982;;;
cg09922935;ZNHIT3;1,24165;0,00757005;17;3,48E+07;NM_004773;TSS200;Island;0,0375028;;;
cg09923314;ZNF169;1,6868;0,056693;9;9,70E+07;NM_194320;5'UTR;;0,0473236;;;
cg09923671;GATA5;-2,57014;-0,101061;20;6,10E+07;NM_080473;Body;Island;0,0496885;;;
cg09923953;KLK11;-1,73468;-0,024006;19;5,15E+07;"NM_001136032;NM_001167605;NM_144947;NM_006853";"3'UTR;3'UTR;3'UTR;3'UTR";S_Shelf;0,0470729;;;
cg09926178;ACTA1;6,04282;0,1453335;1;2,30E+08;NM_001100;5'UTR;Island;0,0394157;;;
cg09926488;TPM4;7,90604;0,1682605;19;1,62E+07;NM_001145160;1stExon;Island;0,0422328;;;
cg09928157;;11,0885;0,20602;13;1,14E+08;;;N_Shore;0,0434742;;;
cg09928766;IGLON5;-1,75141;-0,059406;19;5,18E+07;NM_001101372;Body;N_Shelf;0,0424863;;;
cg09929164;XYLT2;25,1414;0,2203695;17;4,84E+07;NM_022167;TSS1500;Island;0,0403854;;;
cg09929819;;14,0107;0,2772105;22;4,23E+07;;;Island;0,0387052;;;
cg09929856;MPPED1;11,2967;0,2570255;22;4,38E+07;NM_001044370;5'UTR;Island;0,0434742;;;
cg09930328;;-1,67996;-0,0531705;10;1,35E+08;;;N_Shore;0,0436556;;;
cg09932345;NADK;1,95189;0,0716405;1;1,71E+06;NM_023018;TSS1500;Island;0,0382745;;;
cg09933215;SDC3;2,32888;0,087704;1;3,14E+07;NM_014654;Body;;0,0488536;;;
cg09933458;;8,15084;0,2054655;13;1,12E+08;;;Island;0,0445472;;;
cg09934219;RASGRF1;-5,41243;-0,133311;15;7,93E+07;"NM_153815;NM_001145648;NM_002891";"3'UTR;3'UTR;3'UTR";;0,043497;;;
cg09934977;ZNF286B;5,46886;0,17611;17;1,86E+07;NM_001145045;TSS1500;S_Shore;0,0382745;;;
cg09935271;YJEFN3;54,6488;0,4083815;19;1,96E+07;NM_198537;Body;S_Shore;0,0419911;;;
cg09936400;MAT1A;4,19702;0,1516185;10;8,20E+07;"NM_000429;NM_000429";"1stExon;5'UTR";;0,041146;;;
cg09936845;NTRK1;19,2956;0,216004;1;1,57E+08;"NM_001007792;NM_002529;NM_001012331";"Body;Body;Body";;0,0448516;;;
cg09938462;05-Sep;-5,06612;-0,143974;22;1,97E+07;NM_002688;Body;Island;0,0412884;;;
cg09938466;;-5,02322;-0,168146;1;2,30E+08;;;N_Shore;0,0455673;;;
cg09938469;ANKRD11;2,03962;0,0521645;16;8,93E+07;NM_013275;Body;S_Shelf;0,0492215;;;
cg09938674;DLGAP2;-6,71001;-0,186212;8;1,53E+06;NM_004745;Body;;0,040279;;;
cg09938768;EPHB3;-4,71377;-0,1484715;3;1,84E+08;NM_004443;TSS1500;N_Shore;0,0382745;;;
cg09939075;NRG1;3,61152;0,066049;8;3,21E+07;NM_013962;Body;;0,0449053;;;
cg09939079;YEATS4;31,6342;0,3398745;12;6,98E+07;NM_006530;TSS1500;N_Shore;0,0454826;;;
cg09940377;;-4,95676;-0,168093;13;2,85E+07;;;Island;0,0440841;;;
cg09940915;EPHA8;4,96808;0,143766;1;2,29E+07;NM_020526;Body;N_Shore;0,0453479;;;
cg09941112;RASGRP4;-3,64775;-0,0984465;19;3,89E+07;"NM_001146202;NM_001146204;NM_001146203;NM_170604;NM_001146207;NM_001146206;NM_001146206;NM_001146205;NM_001146205;NM_001146202;NM_001146204;NM_001146203;NM_001146207;NM_170604";"1stExon;1stExon;5'UTR;1stExon;5'UTR;1stExon;5'UTR;1stExon;5'UTR;5'UTR;5'UTR;1stExon;1stExon;5'UTR";;0,0407016;;;
cg09941381;RTKN2;-3,93627;-0,05839585;10;6,40E+07;NM_145307;Body;N_Shore;0,039608;;;
cg09941542;ACTL8;2,38818;0,0861565;1;1,81E+07;NM_030812;TSS1500;;0,0419015;;;
cg09941770;SLC16A13;4,76097;0,1359515;17;6,94E+06;NM_201566;TSS1500;N_Shore;0,0483195;;;
cg09942210;NCOR2;5,77371;0,1032435;12;1,25E+08;"NM_006312;NM_001077261";"Body;Body";;0,0486297;;;
cg09942293;RRAD;7,76986;0,1550715;16;6,70E+07;"NM_001128850;NM_004165";"Body;Body";N_Shore;0,0347648;;;
cg09942424;MGAT5B;17,4731;0,2128305;17;7,49E+07;"NM_144677;NM_198955";"Body;Body";;0,0382745;;;
cg09943102;;9,21574;0,145081;7;7,32E+07;;;;0,0398626;;;
cg09943716;;12,2235;0,2506905;20;5,52E+07;;;Island;0,0382745;;;
cg09944325;NEK9;5,05475;0,0678217;14;7,56E+07;NM_033116;TSS200;Island;0,0347648;;;
cg09944434;;6,17898;0,173914;16;1,11E+06;;;Island;0,045907;;;
cg09944626;;-2,014;-0,075666;8;6,21E+07;;;S_Shelf;0,0424301;;;
cg09945801;PURG;20,366;0,315153;8;3,09E+07;"NM_001015508;NM_000553;NM_013357";"1stExon;TSS1500;1stExon";;0,0382745;;;
cg09946832;;2,36369;0,076338;8;1,44E+08;;;N_Shelf;0,0446923;;;
cg09947274;C2orf28;25,0902;0,314029;2;2,74E+07;"NM_001170795;NM_080592;NM_004341;NM_016085";"3'UTR;3'UTR;TSS1500;3'UTR";N_Shore;0,0391234;;;
cg09947736;;3,63321;0,1069615;16;5,51E+07;;;S_Shore;0,0394157;;;
cg09947810;ACAN;6,1876;0,1791885;15;8,94E+07;"NM_001135;NM_013227";"Body;Body";;0,0382745;;;
cg09948879;GRK1;8,23488;0,219562;13;1,14E+08;NM_002929;TSS1500;;0,0469468;;;
cg09951485;PCSK7;-4,95119;-0,0554443;11;1,17E+08;"NM_004716;NM_207343;NM_001077239";"TSS1500;5'UTR;5'UTR";Island;0,0347648;;;
cg09951637;;-3,41523;-0,0857785;11;3,40E+07;;;;0,0490055;;;
cg09952946;BATF3;5,89366;0,111161;1;2,13E+08;NM_018664;TSS1500;Island;0,0400885;;;
cg09953687;SSX6;-8,03811;-0,220202;X;4,80E+07;NR_028366;TSS1500;;0,0421247;;;
cg09954549;TMEM109;2,13727;0,03323005;11;6,07E+07;NM_024092;TSS200;N_Shore;0,043497;;;
cg09955084;;5,15116;0,0920025;16;413813;;;S_Shelf;0,0488299;;;
cg09955645;DIP2C;7,38705;0,161563;10;531098;NM_014974;Body;Island;0,0401629;;;
cg09955705;RBPMS;4,80352;0,1640325;8;3,03E+07;"NM_001008712;NM_001008710;NM_001008711;NM_006867";"Body;Body;Body;Body";;0,0424088;;;
cg09956047;GNPTG;2,48413;0,040685;16;1,40E+06;NM_032520;Body;Island;0,0400013;;;
cg09956859;NKX2-3;7,54288;0,148148;10;1,01E+08;NM_145285;1stExon;Island;0,0347648;;;
cg09958065;CAMK1D;6,55775;0,139997;10;1,26E+07;"NM_020397;NM_153498";"Body;Body";;0,0403706;;;
cg09958192;PSKH1;2,76142;0,108329;16;6,79E+07;NM_006742;TSS1500;N_Shore;0,0382745;;;
cg09958402;ATP10A;4,63687;0,111018;15;2,60E+07;NM_024490;Body;;0,0464164;;;
cg09959150;;17,2755;0,2734195;8;709624;;;;0,0394993;;;
cg09959242;;2,45219;0,057123;13;8,50E+07;;;;0,0467521;;;
cg09959790;;-17,0851;-0,2936445;13;5,96E+07;;;;0,0408722;;;
cg09960171;KCNB2;4,61929;0,161835;8;7,35E+07;NM_004770;5'UTR;S_Shore;0,0434877;;;
cg09960435;LYPD5;-1,70363;-0,0577415;19;4,43E+07;NM_182573;5'UTR;;0,0435878;;;
cg09960724;HCCA2;22,3131;0,0922259;11;1,57E+06;NM_053005;Body;S_Shore;0,0434412;;;
cg09961254;DIP2C;6,8847;0,12256;10;627679;NM_014974;Body;N_Shelf;0,0394157;;;
cg09962458;SIPA1L1;16,2817;0,2242715;14;7,22E+07;NM_015556;Body;;0,0454544;;;
cg09962807;SLCO5A1;9,37006;0,1981775;8;7,07E+07;NM_030958;TSS200;Island;0,0423119;;;
cg09962809;ZFPM1;11,3266;0,215479;16;8,86E+07;NM_153813;Body;N_Shore;0,0382745;;;
cg09962824;CBS;4,97925;0,1546195;21;4,45E+07;NM_000071;Body;N_Shore;0,0433619;;;
cg09962925;;13,3926;0,0806705;16;8,62E+07;;;;0,041302;;;
cg09963125;;3,23188;0,0941085;X;3,97E+07;;;N_Shelf;0,0382745;;;
cg09965384;SP6;6,99786;0,096052;17;4,59E+07;NM_199262;5'UTR;S_Shore;0,0469468;;;
cg09965404;ZNF674;3,33726;0,106093;X;4,64E+07;"NM_001146291;NR_015378;NM_001039891";"TSS200;Body;TSS200";Island;0,0499523;;;
cg09967877;SYT12;2,8802;0,1140735;11;6,68E+07;NM_177963;5'UTR;Island;0,0425427;;;
cg09967973;C1QTNF1;7,57867;0,190975;17;7,70E+07;"NM_198594;NM_030968;NM_198593";"5'UTR;5'UTR;5'UTR";;0,0438518;;;
cg09968391;;7,63941;0,0782221;8;1,06E+07;;;S_Shore;0,0403813;;;
cg09971102;MEG3;6,9657;0,2071015;14;1,01E+08;"NR_003531;NR_003530;NR_002766";"Body;Body;Body";;0,0438826;;;
cg09973371;;-2,59687;-0,1008445;7;1,56E+08;;;;0,0478988;;;
cg09974041;MSRA;7,21058;0,0588945;8;1,03E+07;"NM_001135671;NM_001135670;NM_012331";"Body;Body;Body";;0,0387191;;;
cg09975171;TMLHE;-2,4247;-0,0920595;X;1,55E+08;NM_018196;TSS1500;S_Shore;0,0477746;;;
cg09975267;RFX2;-3,63475;-0,0715955;19;6,01E+06;"NM_000635;NM_134433";"Body;Body";S_Shore;0,047355;;;
cg09975576;TNXB;3,36759;0,1067085;6;3,20E+07;NM_019105;Body;S_Shelf;0,048228;;;
cg09975850;CYP7B1;5,07609;0,1743765;8;6,57E+07;NM_004820;TSS200;Island;0,043799;;;
cg09976845;;3,58416;0,1376925;17;6,02E+07;;;N_Shelf;0,0433619;;;
cg09977703;PPP5C;6,31221;0,168984;19;4,69E+07;NM_006247;Body;S_Shelf;0,0447029;;;
cg09977969;;5,70376;0,1434755;19;1,50E+06;;;Island;0,0472577;;;
cg09978353;SLC9A3R1;5,35291;0,1205205;17;7,28E+07;NM_004252;Body;;0,044987;;;
cg09979281;C14orf68;2,57031;0,102095;14;1,01E+08;NM_207117;Body;Island;0,0404461;;;
cg09979478;;-4,43098;-0,0791635;8;1,46E+08;;;Island;0,040279;;;
cg09979924;;2,57002;0,101968;4;8,36E+06;;;S_Shore;0,0440464;;;
cg09980195;PPM1A;27,4138;0,17751895;14;6,07E+07;"NM_177951;NM_177952;NM_021003";"TSS1500;Body;TSS1500";Island;0,0441835;;;
cg09980626;LOC100271831;2,07338;0,06488;16;3,01E+07;"NR_027081;NM_024307";"TSS200;TSS1500";;0,0400952;;;
cg09981198;;3,68006;0,0729245;6;1,03E+07;;;;0,0424192;;;
cg09981533;BAT1;-3,95312;-0,11662;6;3,15E+07;"NM_080598;NM_004640";"Body;Body";N_Shore;0,0429566;;;
cg09981996;KCNN1;7,39672;0,2066235;19;1,81E+07;NM_002248;TSS1500;Island;0,045512;;;
cg09982224;ALDH3B1;10,972;0,2142545;11;6,78E+07;NM_001161473;TSS200;;0,0347648;;;
cg09982942;FBLN7;-1,70673;-0,0170755;2;1,13E+08;"NM_153214;NM_001128165";"Body;Body";S_Shore;0,0418123;;;
cg09983301;ANTXR1;3,94543;0,1462475;2;6,94E+07;NM_032208;Body;;0,0382745;;;
cg09983370;ATP8A1;2,76146;0,1025285;4;4,27E+07;"NM_001105529;NM_006095";"Body;Body";Island;0,0470729;;;
cg09983885;TRIM21;12,1047;0,1756315;11;4,42E+06;NM_003141;TSS1500;;0,0408631;;;
cg09984047;;4,25438;0,106721;13;1,12E+08;;;;0,0446021;;;
cg09984759;;6,55398;0,130548;6;3,01E+07;;;Island;0,0494421;;;
cg09987408;PMPCA;10,9853;0,254315;9;1,39E+08;NM_015160;Body;S_Shelf;0,0406652;;;
cg09987596;FAM123C;-2,81148;-0,110026;2;1,32E+08;"NM_152698;NM_001105195;NM_001105193;NM_001105194";"5'UTR;TSS200;5'UTR;TSS200";Island;0,045488;;;
cg09987663;FAM169B;-5,4971;-0,1781885;15;9,91E+07;NM_182562;TSS1500;;0,0423645;;;
cg09988116;C1orf210;4,73395;0,12951;1;4,38E+07;"NM_182517;NM_001164829";"5'UTR;5'UTR";;0,0400952;;;
cg09988676;CHRND;-3,89728;-0,119599;2;2,33E+08;NM_000751;1stExon;S_Shore;0,0419911;;;
